,t (s),CM_0
0,0.0,-0.09844227380354349
1,0.0030120481927710845,-0.0970444670248485
2,0.006024096385542169,-0.09042516079424827
3,0.009036144578313254,-0.08283751343341225
4,0.012048192771084338,-0.07735742386659203
5,0.015060240963855423,-0.07476997417103794
6,0.01807228915662651,-0.07410332981044596
7,0.021084337349397592,-0.0742162417149862
8,0.024096385542168676,-0.07420171160827262
9,0.027108433734939763,-0.07363610681207856
10,0.030120481927710847,-0.07266006194967815
11,0.03313253012048193,-0.07146116263037228
12,0.03614457831325302,-0.07001224403942284
13,0.0391566265060241,-0.06829406759407032
14,0.042168674698795185,-0.0663718171057226
15,0.04518072289156627,-0.0643168432049846
16,0.04819277108433735,-0.06223476990089263
