,t (s),CD_0
0,0.0,0.05038306115813677
1,0.0002,0.05038306115813677
2,0.0004,0.05038306115813677
3,0.0006000000000000001,0.05038306115813677
4,0.0008,0.05038306115813677
5,0.001,0.05038306115813677
6,0.0012000000000000001,0.05038306115813677
7,0.0014,0.05038306115813677
8,0.0016,0.05038306115813677
9,0.0018000000000000002,0.05038306115813677
10,0.002,0.05038306115813677
11,0.0022,0.05038306115813677
12,0.0024000000000000002,0.05038306115813677
13,0.0026000000000000003,0.04839818657943311
14,0.0028,0.05038306115813677
15,0.003,0.05038306115813677
16,0.0032,0.05038306115813677
17,0.0034000000000000002,0.05038306115813677
18,0.0036000000000000003,0.05038306115813677
19,0.0038,0.05038306115813677
20,0.004,0.05038306115813677
21,0.004200000000000001,0.04839818657943311
22,0.0044,0.05038306115813677
23,0.0046,0.05038306115813677
24,0.0048000000000000004,0.05038306115813677
25,0.005,0.05038306115813677
26,0.005200000000000001,0.04839818657943311
27,0.0054,0.05038306115813677
28,0.0056,0.05038306115813677
29,0.0058000000000000005,0.05038306115813677
30,0.006,0.05038306115813677
31,0.006200000000000001,0.05038306115813677
32,0.0064,0.05038306115813677
33,0.0066,0.05038306115813677
34,0.0068000000000000005,0.05038306115813677
35,0.007,0.05038306115813677
36,0.007200000000000001,0.05038306115813677
37,0.0074,0.05038306115813677
38,0.0076,0.05038306115813677
39,0.0078000000000000005,0.05038306115813677
40,0.008,0.05038306115813677
41,0.0082,0.05038306115813677
42,0.008400000000000001,0.04839818657943311
43,0.0086,0.05038306115813677
44,0.0088,0.05038306115813677
45,0.009000000000000001,0.05038306115813677
46,0.0092,0.05038306115813677
47,0.0094,0.05038306115813677
48,0.009600000000000001,0.05038306115813677
49,0.0098,0.04839818657943311
50,0.01,0.05038306115813677
