,t (s),Plunge derivative (m/s)_0
0,0.0,0.0
1,0.0002,9.132776244032434e-05
2,0.0004,0.00018250250892198
3,0.0006000000000000001,0.0006854877130009147
4,0.0008,0.0010499589065374165
5,0.001,0.0014127348457952792
6,0.0012000000000000001,0.0017731719719450137
7,0.0014,0.0021306766816620816
8,0.0016,0.0024846618336059494
9,0.0018000000000000002,0.002834548131370364
10,0.002,0.0031797654948568987
11,0.0022,0.003519754452660889
12,0.0024000000000000002,0.0038539675534512204
13,0.0026000000000000003,0.004181870792326755
14,0.0028,0.004502945031961714
15,0.003,0.004816687500635273
16,0.0032,0.005122613118636536
17,0.0034000000000000002,0.00542025599293024
18,0.0036000000000000003,0.0057091707599469625
19,0.0038,0.005988933930376939
20,0.004,0.006259145168297457
21,0.004200000000000001,0.006519428503408688
22,0.0044,0.006769433449123489
23,0.0046,0.007008836102410548
24,0.0048000000000000004,0.007237339983293511
25,0.005,0.007454676949910637
26,0.005200000000000001,0.0076606078782965464
27,0.0054,0.007854923254906223
28,0.0056,0.008037443712028827
29,0.0058000000000000005,0.008208020285474968
30,0.006,0.008366534739518953
31,0.006200000000000001,0.008512899659031218
32,0.0064,0.008647058480886
33,0.0066,0.008768985417587466
34,0.0068000000000000005,0.008878685293427967
35,0.007,0.008976193301330275
36,0.007200000000000001,0.009061574690460528
37,0.0074,0.009134924394464717
38,0.0076,0.009196366609645847
39,0.0078000000000000005,0.009246054331486935
40,0.008,0.009284168856683398
41,0.0082,0.009310919256336802
42,0.008400000000000001,0.009326541824251288
43,0.0086,0.00933129948868606
44,0.0088,0.009325481274561424
45,0.009000000000000001,0.00930940158204117
46,0.0092,0.009283399622050163
47,0.0094,0.00924783869913573
48,0.009600000000000001,0.009203105501391367
49,0.0098,0.009149609335711779
50,0.01,0.00908778129868636
