,t (s),AOA derivative (deg/s)_0
0,0.0,0.0
1,0.0002,0.0
2,0.0004,0.0
3,0.0006000000000000001,0.0
4,0.0008,0.0
5,0.001,0.0
6,0.0012000000000000001,0.0
7,0.0014,0.0
8,0.0016,0.0
9,0.0018000000000000002,0.0
10,0.002,0.0
11,0.0022,0.0
12,0.0024000000000000002,0.0
13,0.0026000000000000003,0.0
14,0.0028,0.0
15,0.003,0.0
16,0.0032,0.0
17,0.0034000000000000002,0.0
18,0.0036000000000000003,0.0
19,0.0038,0.0
20,0.004,0.0
21,0.004200000000000001,0.0
22,0.0044,0.0
23,0.0046,0.0
24,0.0048000000000000004,0.0
25,0.005,0.0
26,0.005200000000000001,0.0
27,0.0054,0.0
28,0.0056,0.0
29,0.0058000000000000005,0.0
30,0.006,0.0
31,0.006200000000000001,0.0
32,0.0064,0.0
33,0.0066,0.0
34,0.0068000000000000005,0.0
35,0.007,0.0
36,0.007200000000000001,0.0
37,0.0074,0.0
38,0.0076,0.0
39,0.0078000000000000005,0.0
40,0.008,0.0
41,0.0082,0.0
42,0.008400000000000001,0.0
43,0.0086,0.0
44,0.0088,0.0
45,0.009000000000000001,0.0
46,0.0092,0.0
47,0.0094,0.0
48,0.009600000000000001,0.0
49,0.0098,0.0
50,0.01,0.0
