,t (s),CM_0
0,0.0,0.03276173585589047
1,0.0002,0.03276173585589047
2,0.0004,0.03580542107796354
3,0.0006000000000000001,0.03580542107796354
4,0.0008,0.03580542107796354
5,0.001,0.03580542107796354
6,0.0012000000000000001,0.03580542107796354
7,0.0014,0.03580542107796354
8,0.0016,0.03580542107796354
9,0.0018000000000000002,0.03580542107796354
10,0.002,0.03580542107796354
11,0.0022,0.03580542107796354
12,0.0024000000000000002,0.03580542107796354
13,0.0026000000000000003,0.03575958168856544
14,0.0028,0.03580542107796354
15,0.003,0.03580542107796354
16,0.0032,0.03580542107796354
17,0.0034000000000000002,0.03580542107796354
18,0.0036000000000000003,0.03580542107796354
19,0.0038,0.03580542107796354
20,0.004,0.03580542107796354
21,0.004200000000000001,0.03575958168856544
22,0.0044,0.03580542107796354
23,0.0046,0.03580542107796354
24,0.0048000000000000004,0.03580542107796354
25,0.005,0.03580542107796354
26,0.005200000000000001,0.03575958168856544
27,0.0054,0.03580542107796354
28,0.0056,0.03580542107796354
29,0.0058000000000000005,0.03580542107796354
30,0.006,0.03580542107796354
31,0.006200000000000001,0.03580542107796354
32,0.0064,0.03580542107796354
33,0.0066,0.03580542107796354
34,0.0068000000000000005,0.03580542107796354
35,0.007,0.03580542107796354
36,0.007200000000000001,0.03580542107796354
37,0.0074,0.03580542107796354
38,0.0076,0.03580542107796354
39,0.0078000000000000005,0.03580542107796354
40,0.008,0.03580542107796354
41,0.0082,0.03580542107796354
42,0.008400000000000001,0.03575958168856544
43,0.0086,0.03580542107796354
44,0.0088,0.03580542107796354
45,0.009000000000000001,0.03580542107796354
46,0.0092,0.03580542107796354
47,0.0094,0.03580542107796354
48,0.009600000000000001,0.03580542107796354
49,0.0098,0.03575958168856544
50,0.01,0.03580542107796354
